studentId,class
1,10R
2,10O
3,2D
4,2F
5,10L
6,3X
7,9U
8,11P
9,8R
10,8N
11,10Y
12,9X
13,2E
14,1L
15,4G
16,1A
17,1H
18,6N
19,6Z
20,5J
21,7X
22,8A
23,8Z
24,4E
25,1H
26,9R
27,12F
28,12U
29,10V
30,12S
31,2P
32,3N
33,9L
34,7V
35,8D
36,6K
37,7V
38,3D
39,8K
40,2T
41,8Y
42,3D
43,4F
44,2E
45,6J
46,8E
47,5Y
48,7C
49,10T
50,9P
51,4P
52,2W
53,1Y
54,5K
55,7A
56,12I
57,4C
58,3J
59,5K
60,8F
61,11W
62,5Q
63,6H
64,11Q
65,1C
66,2Y
67,6O
68,4X
69,12V
70,8E
71,8O
72,5E
73,3Y
74,6F
75,11X
76,8A
77,2L
78,1H
79,9F
80,5O
81,7K
82,2K
83,5T
84,4A
85,11Y
86,6H
87,1N
88,7L
89,7G
90,12M
91,12E
92,8H
93,9C
94,5S
95,11J
96,6X
97,7O
98,2M
99,3I
100,10U
101,4D
102,10W
103,10Q
104,4D
105,8F
106,1H
107,7G
108,11U
109,11V
110,5F
111,1C
112,4E
113,12M
114,4V
115,1S
116,6U
117,4I
118,5P
119,11L
120,1L
121,5F
122,5I
123,7Z
124,7H
125,7X
126,5P
127,12O
128,2C
129,10H
130,12O
131,12Y
132,3O
133,9T
134,2I
135,5G
136,9V
137,6I
138,6F
139,5U
140,6A
141,11T
142,4O
143,12V
144,1Y
145,1W
146,3Z
147,12L
148,3Z
149,1Z
150,9Z
151,2J
152,3C
153,12K
154,2I
155,2J
156,7A
157,3H
158,8S
159,11W
160,12F
161,9T
162,1D
163,3N
164,6P
165,5D
166,2J
167,2A
168,9R
169,8V
170,10P
171,9P
172,2O
173,7Z
174,12L
175,11P
176,8G
177,6T
178,12Y
179,7Y
180,8R
181,5X
182,4V
183,2D
184,10L
185,10F
186,6S
187,3S
188,1J
189,8H
190,7I
191,2N
192,4D
193,6Q
194,1X
195,9F
196,3R
197,6D
198,11J
199,10I
200,9E
201,7F
202,3P
203,6C
204,6O
